x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
1.311789348,9.948533812,0.335128665,-0.914045802,-0.051908397,-0.831145038
1.287851586,10.06104129,0.380610413,-1.193282443,-0.112671756,-0.265801527
1.20406942,10.19030521,0.359066427,-1.425954198,-0.428396947,-0.422900763
1.256732496,10.04667864,0.347097546,-1.415725191,-0.57480916,0.081221374
1.297426691,10.04189108,0.244165171,-1.663358779,-0.780763359,0.764122137
1.254338719,9.809694794,0.167564333,-1.44778626,-0.905648855,0.500916031
1.3165769,9.915020946,0.16277678,-1.09740458,-0.344427481,0.265801527
1.421903052,9.833632555,0.165170557,-0.536946565,-0.293129771,0.398778626
1.364452424,9.905445841,0.251346499,-0.077251908,-0.107633588,-0.004427481
1.342908438,9.941352484,0.236983842,0.039389313,0.045801527,0.147175573
1.297426691,10.01316577,0.220227409,0.628244275,0.33480916,0.453435115
1.271095153,10.09216038,0.246558947,0.646412214,0.107328244,1.407328244
1.28545781,10.08258528,0.236983842,0.86351145,0.505496183,2.077557252
1.220825853,10.08258528,0.287253142,1.216793893,0.424427481,2.161374046
1.225613405,10.01077199,0.31358468,1.766259542,0.618778626,1.842442748
1.237582286,10.00359066,0.311190904,1.974351145,0.750076336,1.740152672
1.304608019,10.03231598,0.296828247,1.808854962,0.331603053,1.827938931
1.244763615,10.00359066,0.299222023,1.479541985,0.223053435,1.836183206
1.206463196,9.991621783,0.299222023,1.555267176,0.187633588,0.891603053
1.208856972,10.01077199,0.330341113,1.599236641,0.063053435,0.006870229
1.211250748,10.0203471,0.36385398,1.260610687,0.243358779,-0.590534351
1.18491921,10.05864752,0.42609216,1.399847328,0.500763359,-2.483816794
1.220825853,10.13285458,0.428485937,1.311145038,0.952671756,-3.735267176
1.318970676,10.16876122,0.421304608,0.257709924,1.288549618,-3.429923664
1.369239976,10.05625374,0.430879713,-0.612519084,0.830534351,-2.193282443
1.424296828,9.903052065,0.464392579,-0.948396947,0.738931298,-1.552061069
1.39796529,9.836026332,0.435667265,-1.620152672,0.723664122,-0.910839695
1.385996409,9.850388989,0.409335727,-1.925496183,0.14351145,0.112061069
1.254338719,9.905445841,0.304009575,-2.017099237,-0.116030534,0.00519084
1.177737882,9.97486535,0.244165171,-2.352977099,-0.283969466,-0.315419847
1.13464991,10.04907241,0.201077199,-1.956030534,-0.619847328,-0.086412214
1.120287253,10.11131059,0.220227409,-1.330076336,-0.619847328,-1.185648855
1.137043686,10.11131059,0.241771394,-1.085801527,-0.833587786,-2.330687023
1.196888091,10.03470975,0.239377618,-0.963664122,-0.879389313,-2.055877863
1.20406942,10.08258528,0.246558947,-0.581984733,-0.665648855,-2.223816794
1.249551167,9.984440455,0.239377618,-0.520916031,-0.574045802,-2.529160305
1.345302214,9.879114303,0.236983842,0.368091603,-0.611908397,-2.538625954
1.409934171,9.912627169,0.210652304,0.289770992,-0.345648855,-1.293587786
1.345302214,9.857570317,0.165170557,0.897557252,-0.236946565,-1.491145038
1.33572711,9.919808498,0.148414123,1.361374046,-0.111755725,-0.869465649
1.263913824,10.04428486,0.16277678,1.182748092,0.470229008,-0.549007634
1.232794734,10.05146619,0.256134051,2.084427481,0.939236641,-1.300305344
1.302214243,10.00119689,0.289646918,2.261374046,1.041526718,-0.81648855
1.405146619,9.962896469,0.404548175,1.82778626,0.943664122,0.121832061
1.378815081,9.926989826,0.406941951,1.716641221,1.117862595,1.313435115
1.302214243,9.965290245,0.366247756,1.620916031,0.756793893,1.899236641
1.230400958,10.04189108,0.31358468,1.175419847,1.037862595,2.428396947
1.28545781,10.03710353,0.301615799,0.585038168,1.040916031,3.10778626
1.290245362,10.0299222,0.320766008,0.447633588,0.62870229,3.79480916
1.242369838,10.01316577,0.330341113,0.020152672,0.689770992,3.611603053
1.263913824,10.00598444,0.349491323,-0.14778626,0.21648855,3.642137405
1.242369838,9.998803112,0.351885099,-0.392061069,0.35389313,3.978015267
1.225613405,10.05385996,0.330341113,-1.002748092,0.201221374,4.084885496
1.242369838,10.02274087,0.366247756,-1.308091603,0.170687023,4.008549618
1.295032914,10.01077199,0.36385398,-1.674503817,0.002748092,4.191755725
1.3165769,9.965290245,0.342309994,-2.163053435,-0.470534351,3.947480916
1.295032914,9.946140036,0.339916218,-2.376793893,-0.44,3.840610687
1.268701376,9.931777379,0.289646918,-3.185954198,-0.959083969,3.687938931
1.242369838,9.926989826,0.282465589,-2.987480916,-0.943816794,3.733740458
1.23518851,9.970077798,0.244165171,-3.384427481,-1.050687023,3.535267176
1.251944943,9.986834231,0.227408737,-3.781374046,-1.218625954,3.214656489
1.292639138,10.00598444,0.260921604,-3.888244275,-1.539236641,3.65740458
1.283064034,10.0203471,0.217833633,-5.231755725,-1.905648855,4.130687023
1.18491921,9.905445841,0.509874327,-4.407328244,-2.241526718,4.283358779
